variable,mean,median,sd,mad,q5,q95,term
b_race_other,0.7844336400532093,0.7676251660623099,1.6775668890602438,1.6627755290245931,0.3512535154449732,1.9054636437273835,Multiplicative
b_rank_e1_e3,1.208946668328702,1.2066728542645833,1.2001630287227942,1.2005465004995168,0.899696480433624,1.6364438690795853,Multiplicative
b_rank_e7_e9,1.1007015954625534,1.0972122573490513,1.230255530287842,1.2299911048303103,0.7889318255630257,1.5523962913012477,Multiplicative
b_rank_o1_o3,1.5662442488635553,1.5600461591150365,1.2918673296284058,1.284762463480328,1.0343090602474312,2.3958279116755863,Multiplicative
b_rank_o4_o6,0.4438223762409532,0.4357063986756382,1.6017016155448733,1.5900221147671492,0.21209692402328406,0.9874473133992071,Multiplicative
b_rank_w1_cw5,0.6944583227796938,0.686524943589072,1.5966548391603417,1.585460582799321,0.32910132562827843,1.5201488831465924,Multiplicative
b_service_era_cold_war,0.7573610383265675,0.7561099778774198,1.1564297234146421,1.155626369106437,0.5980684806206072,0.96017148683815,Multiplicative
b_service_era_korea,1.6778543610591048,1.5944825682750996,1.977986282624999,1.9422346197047968,0.5945759215172712,5.555155913864197,Multiplicative
b_service_era_persian_gulf,0.9578871299823073,0.9585999360197848,1.1485852414581594,1.1472634595547981,0.7626227975498985,1.2035609946355526,Multiplicative
b_service_era_vietnam,0.8517439838077927,0.8514656119127094,1.1832699696591447,1.182133145516126,0.6440302142120425,1.1198080593050135,Multiplicative
b_sex_female,1.0000125223017255,0.9985414364392828,1.1533837054395861,1.1500180032010088,0.7909464390226251,1.2682877849457939,Multiplicative
b_sexual_orientation_bi,1.0946248267193543,1.0896983109655425,1.3274116846578308,1.324846333340201,0.6948231991445294,1.7582452339076518,Multiplicative
b_sexual_orientation_gay,1.2475800707660936,1.2391119887961894,1.4418758466275385,1.439337677912134,0.6910374215754557,2.312906938897022,Multiplicative
b_hu_Intercept,0.24067947782215346,0.24236021931295956,1.6641030427715477,1.6701536460343935,0.10263735537844823,0.5469142634087693,Odds Ratio
b_hu_branch_air_force,0.6033531113740155,0.6068236453375938,1.5879630919925125,1.5893826897641223,0.28056902664423117,1.275556599527793,Odds Ratio
b_hu_branch_marines,0.8775146481268338,0.8723144694337336,1.7545982538198037,1.7464051917831824,0.3527572661072444,2.2298332390929363,Odds Ratio
b_hu_branch_navy,1.5348759772531062,1.5340351628352717,1.4950762187123485,1.492281458415601,0.7903464190577166,2.9872562530743987,Odds Ratio
b_hu_branch_public_health,0.6282684899185597,0.6311583512952598,2.4451387276171377,2.4035686170230877,0.1419978964816648,2.65834843934798,Odds Ratio
b_hu_military_exp_combat,0.35400791665143055,0.35502832640494597,1.5401291504136516,1.5392601000941781,0.17354569196530215,0.7138718214765756,Odds Ratio
b_hu_military_exp_noncombat,0.48530365311291906,0.4864072952425076,1.4756807191069874,1.4805179539184166,0.2566628109982731,0.9185725645747308,Odds Ratio
b_hu_military_exp_peacekeeping,1.674987589518592,1.6716944370489528,1.6898916080857027,1.674357285551571,0.708288475502096,3.9774079965975315,Odds Ratio
b_hu_military_exp_support,2.334550793288207,2.328161860131131,1.585178184695803,1.5727062417558744,1.0956397098577066,5.004940827400033,Odds Ratio
b_hu_mios_total,0.1946464967232684,0.19529318241073107,1.3041901423330606,1.3057735830839297,0.125037378922601,0.29829913268250663,Odds Ratio
b_hu_pc_ptsd_positive_screen,0.5684213709518634,0.580891097185325,2.020651195792575,1.9955861108119355,0.1710708552696714,1.7434106328628107,Odds Ratio
b_hu_race_asian,1.2211074641792985,1.2365833948706815,2.3170906787865544,2.3179713318636077,0.2980778991779734,4.705208163039038,Odds Ratio
b_hu_race_black,1.990505104541551,1.9825053735202707,1.7110968752347695,1.7002065935888027,0.8184045432331296,4.817751305148438,Odds Ratio
b_hu_race_latino,1.256341316619688,1.2596764723290197,2.20327274363418,2.1644723965523207,0.3404754468829631,4.57158986001361,Odds Ratio
b_hu_race_native,0.36518845121367244,0.3723256981882945,2.2164611838964023,2.1980255764693033,0.09652318793695223,1.2992739708555916,Odds Ratio
b_hu_race_other,1.15152652237174,1.1631286540625163,2.314860690626847,2.320503082767517,0.2859574315426885,4.507351475384811,Odds Ratio
b_hu_rank_e1_e3,0.8028788556060987,0.8072626532131593,1.6446859191944112,1.6391589076536055,0.3508221005643692,1.803120471070791,Odds Ratio
b_hu_rank_e7_e9,0.9096720769190683,0.9076106149672604,1.764076173664364,1.761529456057287,0.35505146257966236,2.2921673889181458,Odds Ratio
b_hu_rank_o1_o3,0.5412943996733572,0.5397544689257026,1.7978921715871643,1.786983028449647,0.20529294703087647,1.435986808065612,Odds Ratio
b_hu_rank_o4_o6,1.5744117563755629,1.5539891423246928,2.0188255578410406,2.017826398726345,0.501171053258204,5.023680613543001,Odds Ratio
b_hu_rank_w1_cw5,0.7351235019512566,0.7429285560085412,2.4831406648596954,2.487057396607624,0.1601840824133739,3.2564480299171294,Odds Ratio
b_hu_service_era_cold_war,1.5014217654299225,1.496866749820825,1.5837618075377236,1.5748639233261104,0.7044090983428032,3.1829030049641283,Odds Ratio
b_hu_service_era_korea,0.6181144565584803,0.6210051742237727,2.521025144950325,2.4400896806269667,0.13879735045951802,2.799630670252838,Odds Ratio
b_hu_service_era_persian_gulf,0.9716780043372174,0.9726188662035886,1.502128514387202,1.4936649731619578,0.49626891219018027,1.90365800878253,Odds Ratio
b_hu_service_era_vietnam,1.6676693838203986,1.671841460681121,1.5113184710954812,1.5111955690817116,0.852317464618929,3.2688614047192455,Odds Ratio
b_hu_sex_female,0.8879400955660754,0.8873304084170192,1.5349636263449895,1.5352402122254145,0.4415438082174913,1.798124225325345,Odds Ratio
b_hu_sexual_orientation_bi,1.2116702816077296,1.2256926956281058,2.280468168716767,2.272244363446047,0.30509647833020237,4.605711690012214,Odds Ratio
b_hu_sexual_orientation_gay,0.653205009700135,0.6583246501813219,2.2040419115435137,2.195509030517041,0.17676560668979416,2.3681058448099255,Odds Ratio
