variable,mean,median,sd,mad,q5,q95,term
b_hu_branch_coast_guard,1.005602719001739,1.0120963992453629,2.726703100767837,2.7706541766574437,0.19371361634291656,5.184761979319881,Odds Ratio
b_hu_branch_marines,1.999295928277778,2.0133121365106406,2.072485800934537,2.0654005161473115,0.5950452555982011,6.526928009851358,Odds Ratio
b_hu_branch_navy,0.8385303310369795,0.8522322503435121,2.1092699074304315,2.0882352964874724,0.23695564316616283,2.7838378855176793,Odds Ratio
b_hu_branch_public_health,1.0203350151972785,1.0196815238274015,2.6822386340959143,2.7128494671596974,0.20275282249968207,5.1786276047483035,Odds Ratio
b_hu_foreign_born,1.1597027277412688,1.1558485042785358,2.4942885360569687,2.4693022740619637,0.25840199539154585,5.183856824822127,Odds Ratio
b_hu_gender_female,0.40152781185070296,0.40653361487245915,1.9732608078793423,1.9648292945951866,0.12932871919379835,1.2044210655913397,Odds Ratio
b_hu_gender_nonbinary,0.7284045593525671,0.7232529003293672,2.5830683313497897,2.596469934126341,0.15290042598719814,3.4708940081090764,Odds Ratio
b_hu_military_exp_combat,1.4990054206546846,1.5064817720806236,2.0146510129678514,2.006675946237149,0.4734063461599632,4.670894546265607,Odds Ratio
b_hu_military_exp_noncombat,0.5417480280231639,0.5416523684188552,1.7853343377738018,1.7751567642057842,0.20729374057572916,1.41625648168112,Odds Ratio
b_hu_military_exp_peacekeeping,0.8720425510670058,0.8772884546744433,1.9857185551686176,1.9750311676634842,0.2841473577693485,2.6621192630056187,Odds Ratio
b_hu_military_exp_support,0.9091191217517853,0.9088181234841681,1.902506568639537,1.8937044226776545,0.3116378211826273,2.6050062150025273,Odds Ratio
b_hu_mios_total,0.2812688688567298,0.28289495047091423,1.5981048537845668,1.5927511849435898,0.12853913544788018,0.5997918974568314,Odds Ratio
b_hu_pcl_total,0.35317839320902245,0.3572571315571847,1.6566447870126786,1.6479068048942536,0.1520862773535131,0.7960740590166255,Odds Ratio
b_hu_race_asian,1.38544836281835,1.395270572155203,2.3844846769107506,2.372425538678431,0.33031194273605835,5.7086922818774415,Odds Ratio
b_hu_race_black,2.2012768085988492,2.18882443054553,1.9783031174337404,1.96979968020011,0.7110509980755836,6.839236037687104,Odds Ratio
b_hu_race_latino,1.266244289650753,1.2768469325660732,2.497425984144812,2.482084541463736,0.28074030597194294,5.558247495911995,Odds Ratio
b_hu_race_native,1.3951113936322808,1.398792472787784,2.516108844640085,2.5292655621061466,0.30356345740004564,6.330245095026848,Odds Ratio
b_hu_race_other,0.8952045928199668,0.903761188954418,2.602828563120692,2.599006200620109,0.1819699682748045,4.313534165063251,Odds Ratio
b_hu_race_pacific,1.0071098790661344,1.0103000126776995,2.709018951483912,2.698042617690537,0.19015560753161775,5.273567824319597,Odds Ratio
b_hu_rank_e1_e3,0.6977259090995753,0.7043369465966826,2.2313691396952002,2.2219674356455466,0.18118061542257877,2.5460244630142674,Odds Ratio
b_hu_rank_e7_e9,0.9496617877730417,0.9614968024921672,2.0807454605137354,2.0795800667661766,0.27948348382316696,3.1511093170967555,Odds Ratio
b_hu_rank_o1_o3,1.0253118154849676,1.0295488607294085,2.3060121763233323,2.301265130190068,0.25787065293222244,4.02099013684033,Odds Ratio
b_hu_rank_o4_o6,0.9972952770872001,0.9980097382527432,2.25442409332056,2.2820167147761556,0.26183708672917416,3.7855408133564947,Odds Ratio
b_hu_rank_w1_cw5,0.957200983911614,0.9597111991487486,2.6186844096591626,2.6039534329986496,0.19572650634222402,4.678545963055049,Odds Ratio
b_hu_service_era_cold_war,0.9908537646196004,0.9959161338546356,1.8778845274430012,1.8925495432979837,0.3475981787861679,2.7615528546241372,Odds Ratio
b_hu_service_era_persian_gulf,0.5276834670666467,0.529884797113355,1.7964129003054177,1.8043386657367153,0.20067985538323801,1.3757632059457832,Odds Ratio
b_hu_service_era_vietnam,0.6198353810293982,0.623001264812572,2.4476393113550103,2.4222752026541405,0.1415837874057157,2.6119028317135577,Odds Ratio
